"","Player","Squad","Comp","Age","DOB","TmPos","Nation","player_num","player_foot","player_height_mtrs","player_market_value_euro","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast.x","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.x","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url","PlayerFBref","UrlTmarkt"
"11","Abdel Abqar","Alavés","La Liga",25,1999-03-10,"Centre-Back","MAR","5","right","1.88",7500000,2024,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,25.7,0,10,3,30,0.39,0.12,0,0,12.1,0,0,0,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86,302,339,89.1,99,225,44,0.2,0.2,-0.2,3,61,2,0,49,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,12,0.47,9,0,0,2,1,0,0,0,0,0,0,0,0,0,35,19,28,5,2,21,35,60,14,31,26,5,23,58,115,0,1032,191,570,422,42,21,1032,5,3,60,1,20,492,2460,1418,7,6,0,15,1,499,1,86,67.6,27,86,23,0,0,4,1.07,21,30,-9,-0.35,-0.27,27,30.7,-3.8,-0.15,0,33,23,1,2,19,0,2,1,109,39,36,52,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar","Abdel Abqar","https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979"
"12","Abdelhamid Sabiri","Fiorentina","Serie A",27,1996-11-28,"Attacking Midfield","MAR","-","right","1.86",2200000,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri","Abdelhamid Sabiri","https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394"
"13","Abdellah Baallal","Clermont Foot","Ligue 1",19,2004-11-07,"Left Winger","MAR","-","right",NA,50000,2024,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,40,0,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,2,2,1,0,5,0,0,0,0,0,3,17,6,0,0,0,0,0,2,0,4,0.1,0,0,0,1,4,3,1,0,0,0,0,1,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,1,1,0,100,"https://fbref.com/en/players/972183e0/Abdellah-Baallal","Abdellah Baallal","https://www.transfermarkt.com/abdellah-baallal/profil/spieler/1028125"
"14","Abde Rebbach","Alavés","La Liga",25,1998-08-11,"Left Winger","ALG","21","right","1.76",8e+05,2024,23,6,722,8,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,8,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.05,0.2,0.2,124,225,55.1,2213,845,63,84,75,40,67,59.7,17,45,37.8,1.8,1.7,-1.8,18,12,6,3,14,225,179,44,3,0,1,63,12,28,10,8,2,124,2,18,29,3.61,15,7,4,2,1,0,0,0,0,0,0,0,0,0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,31,21.1,6,64,0,17,20,15,0.7,5,6,-1,-0.12,0.18,7.5,6.8,0.7,0.09,0,13,10,3,63,5,0,0,0,31,7,13,35,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach","Abderrahman Rebbach","https://www.transfermarkt.com/abde-rebbach/profil/spieler/718034"
"15","Abdou Harroui","Frosinone","Serie A",26,1998-01-13,"Central Midfield","NED","21","both","1.82",2700000,2024,18,13,1019,11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43,38,56,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31,11.3,3,32,11,34.4,2.83,0.97,0.06,0.18,21.1,0,1,1,0.07,-0.1,-0.3,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60,1.2,1.4,1.8,16,29,12,4,38,383,361,18,4,4,2,12,6,2,1,0,0,303,4,11,39,3.44,27,0,4,5,3,0,4,0.35,3,0,0,1,0,0,23,11,11,11,1,8,16,50,8,19,3,16,5,28,8,0,564,11,79,276,220,32,563,44,19,43.2,21,47.7,308,2227,1221,43,31,8,28,7,378,56,57,29.8,13,70,0,5,22,2,0.67,15,29,-14,-1.24,-0.82,13.8,18.4,-4.5,-0.4,0,18,16,1,12,11,0,0,0,53,12,8,60,"https://fbref.com/en/players/65fd099c/Abdou-Harroui","Abdou Harroui","https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386"
"16","Abdoul Kader Bamba","Nantes","Ligue 1",30,1994-04-25,"Right Winger","FRA","12","right","1.77",9e+05,2024,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1,3.2,41,31,73,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,6.8,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,0.16,-0.1,-0.1,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1.1,0,11,18,10,2,31,336,307,26,11,3,1,26,6,9,4,3,0,267,3,1,36,5.29,22,3,2,3,6,0,3,0.44,2,1,0,0,0,0,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,27,20,1,59,0,22,25,9,0.7,8,17,-9,-1.33,-0.74,10,16,-6.1,-0.89,0,3,35,5,26,7,1,0,0,44,6,6,50,"https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba","Abdoul Kader Bamba","https://www.transfermarkt.com/abdoul-kader-bamba/profil/spieler/560725"
"17","Abdoulaye Doucouré","Everton","Premier League",31,1993-01-01,"Central Midfield","MLI","16","right","1.83",1e+07,2024,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,0.2,-1.8,-1.8,683,893,76.5,9807,2329,381,453,84.1,239,288,83,28,59,47.5,2.9,1.5,-1.9,34,43,18,1,97,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,82,76.9,32,82,17,0,0,0,1.44,33,36,-3,-0.1,0.81,40.3,41.8,-1.5,-0.05,0,53,8,21,26,27,0,1,0,144,24,40,37.5,"https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure","Abdoulaye Doucouré","https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187"
"18","Abdoulaye Touré","Le Havre","Ligue 1",30,1994-03-03,"Defensive Midfield","GUI","94","right","1.88",3e+06,2024,30,27,2284,25.4,2,0,2,0,2,2,4,0,3,1.4,0.9,2.3,22,148,25,0.08,0,0.08,0,0,0.12,0.04,0.15,0.05,0.09,25.4,2,31,8,25.8,1.22,0.32,0,0,27.4,0,2,2,0.04,-1,-1.4,1031,1238,83.3,18110,5195,413,483,85.5,475,546,87,92,122,75.4,0.9,0.9,-0.9,12,119,7,0,148,1238,1219,14,9,1,6,4,3,0,0,0,0,1031,5,19,44,1.73,37,0,2,1,3,1,1,0.04,1,0,0,0,0,0,47,28,22,22,3,30,60,50,30,30,8,22,25,72,33,0,1504,77,385,946,194,17,1502,42,29,69,12,28.6,1107,5683,2425,22,37,2,37,28,1006,25,76,74.6,27,83,15,3,12,0,0.9,19,34,-15,-0.59,-1.05,24.7,40.4,-15.7,-0.62,0,27,32,0,4,28,0,0,0,173,42,40,51.2,"https://fbref.com/en/players/ef7cd87a/Abdoulaye-Toure","Abdoulaye Touré","https://www.transfermarkt.com/abdoulaye-toure/profil/spieler/181382"
"19","Abdul Mumin","Rayo Vallecano","La Liga",26,1998-06-06,"Centre-Back","GHA","16","right","1.88",2500000,2024,20,19,1694,18.8,1,0,1,1,0,0,5,1,0.4,0.4,0.3,0.7,6,38,4,0.05,0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,18.8,1,6,1,16.7,0.32,0.05,0.17,1,15.9,0,0,0,0.06,0.6,0.6,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0.3,0.1,-0.3,4,34,4,0,38,773,743,28,26,0,7,2,2,0,0,0,0,617,2,3,11,0.58,8,0,1,2,0,0,0,0,0,0,0,0,0,0,19,10,13,4,2,8,10,80,2,27,19,8,22,41,82,1,956,127,578,359,25,8,956,4,2,50,1,25,492,2318,989,6,2,0,7,3,558,4,85,49.5,19,89,17,1,3,15,1,11,21,-10,-0.53,-0.06,18.5,22.1,-3.5,-0.19,0,15,16,0,2,10,0,0,0,79,39,31,55.7,"https://fbref.com/en/players/5487adcd/Abdul-Mumin","Abdul Mumin","https://www.transfermarkt.com/abdul-mumin/profil/spieler/451801"
"20","Abdón Prats","Mallorca","La Liga",31,1992-12-07,"Centre-Forward","ESP","9","left","1.81",1800000,2024,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,0.43,0.07,0.5,0.43,0.5,0.23,0.17,0.4,0.23,0.4,14.1,6,33,14,42.4,2.34,0.99,0.18,0.43,14.8,2,0,0,0.1,2.8,2.8,132,240,55,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,2.4,1.2,-1.4,14,12,8,0,26,240,228,11,2,5,3,8,0,2,1,1,0,132,1,14,23,1.63,16,1,1,3,1,1,3,0.21,3,0,0,0,0,0,6,4,2,2,2,3,5,60,2,6,3,3,2,8,12,0,376,16,34,171,181,43,376,18,8,44.4,10,55.6,183,830,285,9,9,5,41,10,266,49,37,37.1,11,68,3,23,23,4,1.03,16,15,1,0.07,0.57,16.6,15.5,1.1,0.08,0,18,18,5,8,4,0,0,0,30,39,60,39.4,"https://fbref.com/en/players/d1b060e2/Abdon-Prats","Abdón Prats","https://www.transfermarkt.com/abdon-prats/profil/spieler/177452"
